Date,Open,High,Low,Close,Adj Close,Volume
8/22/2019,293.230011,293.929993,290.399994,292.359985,270.218018,51666400
8/23/2019,290.920013,292.76001,283.470001,284.850006,263.276825,149161500
8/26/2019,287.269989,288,285.579987,288,266.188263,72423800
8/27/2019,289.540009,289.950012,286.029999,286.869995,265.143829,66668900
8/28/2019,286.140015,289.070007,285.25,288.890015,267.010925,59696700
8/29/2019,291.720001,293.160004,290.609985,292.579987,270.421326,57899400
8/30/2019,294.220001,294.23999,291.420013,292.450012,270.301178,62901200
9/3/2019,290.570007,291.579987,289.269989,290.73999,268.720642,69101400
9/4/2019,293.140015,294.059998,292.309998,294.040009,271.770782,46887300
9/5/2019,296.790009,298.829987,294,297.820007,275.264526,83258100
9/6/2019,298.170013,298.76001,297.420013,298.049988,275.477142,49584300
9/9/2019,299.140015,299.23999,297.160004,298.200012,275.615784,51260300
9/10/2019,297.359985,298.200012,295.970001,298.130005,275.551086,57947100
9/11/2019,298.470001,300.339996,297.75,300.25,277.51059,68821100
9/12/2019,301.25,302.459991,300.410004,301.290009,278.47168,72908700
9/13/2019,301.779999,302.170013,300.679993,301.089996,278.286835,62104800
9/16/2019,299.839996,301.140015,299.450012,300.160004,277.427246,58191200
9/17/2019,299.940002,301.019989,299.75,300.920013,278.129791,41475500
9/18/2019,300.48999,301.220001,298.23999,301.100006,278.296112,73375800
9/19/2019,301.529999,302.630005,300.709991,301.079987,278.277649,76560500
9/20/2019,300.359985,300.670013,297.410004,298.279999,276.96283,89565000
9/23/2019,297.549988,299,297.269989,298.209991,276.897827,43476800
9/24/2019,299.410004,299.839996,294.809998,295.869995,274.725037,94869400
9/25/2019,295.959991,298.109985,294.329987,297.619995,276.350006,71854000
9/26/2019,297.630005,297.859985,295.450012,297,275.774353,56179700
9/27/2019,297.829987,297.950012,293.690002,295.399994,274.288696,84746600
9/30/2019,295.970001,297.549988,295.920013,296.769989,275.560699,51662400
10/1/2019,297.73999,298.459991,293,293.23999,272.28299,88242400
10/2/2019,291.5,291.51001,286.640015,288.059998,267.473206,122539500
10/3/2019,287.809998,290.450012,284.820007,290.420013,269.664581,85278800
10/4/2019,291.140015,294.630005,291.079987,294.350006,273.31369,65091200
10/7/2019,293.470001,295.26001,292.769989,293.079987,272.134491,59610500
10/8/2019,291.040009,291.850006,288.48999,288.529999,267.909546,95708100
10/9/2019,290.75,292.299988,290.059998,291.269989,270.453827,62359400
10/10/2019,291.179993,294.209991,291,293.23999,272.28299,55296300
